Evidence-Based Interventions for Children with Challenging Behavior;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2
MATLAB for Psychologists;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2197-9
International Perspectives on Psychotherapy;http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3
Applied Behavior Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0
Psychology of Perception;http://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5
